// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// Red Potion
IG_BlueBox,502,12	// Orange Potion
IG_BlueBox,503,12	// Yellow Potion
IG_BlueBox,504,12	// White Potion
IG_BlueBox,505,12	// Blue Potion
IG_BlueBox,506,12	// Green Potion
IG_BlueBox,507,12	// Red Herb
IG_BlueBox,508,12	// Yellow Herb
IG_BlueBox,509,12	// White Herb
IG_BlueBox,510,12	// Blue Herb
IG_BlueBox,511,12	// Green Herb
IG_BlueBox,512,12	// Apple
IG_BlueBox,513,12	// Banana
IG_BlueBox,514,12	// Grape
IG_BlueBox,515,12	// Carrot
IG_BlueBox,516,12	// Potato
IG_BlueBox,517,12	// Meat
IG_BlueBox,518,12	// Honey
IG_BlueBox,519,12	// Milk
IG_BlueBox,520,12	// Hinalle Leaflet
IG_BlueBox,521,12	// Aloe Leaflet
IG_BlueBox,522,12	// Mastela Fruit
IG_BlueBox,523,12	// Holy Water
IG_BlueBox,525,12	// Panacea
IG_BlueBox,526,12	// Royal Jelly
IG_BlueBox,528,12	// Monster Food
IG_BlueBox,529,12	// Candy
IG_BlueBox,530,12	// Candy Cane
IG_BlueBox,531,12	// Apple Juice
IG_BlueBox,532,12	// Banana Juice
IG_BlueBox,533,12	// Grape Juice
IG_BlueBox,534,12	// Carrot Juice
IG_BlueBox,535,12	// Pumpkin
IG_BlueBox,536,12	// Ice Cream
IG_BlueBox,537,12	// Pet Food
IG_BlueBox,538,12	// Well-baked Cookie
IG_BlueBox,601,12	// Fly Wing
IG_BlueBox,602,12	// Butterfly Wing
IG_BlueBox,604,512	// Dead Branch
IG_BlueBox,605,12	// Anodyne
IG_BlueBox,606,12	// Aloevera
IG_BlueBox,607,12	// Yggdrasil Berry
IG_BlueBox,608,12	// Yggdrasil Seed
IG_BlueBox,609,12	// Amulet
IG_BlueBox,610,12	// Yggdrasil Leaf
IG_BlueBox,611,12	// Magnifier
IG_BlueBox,612,12	// Mini Furnace
IG_BlueBox,613,12	// Iron Hammer
IG_BlueBox,614,12	// Golden Hammer
IG_BlueBox,615,12	// Oridecon Hammer
IG_BlueBox,618,12	// Worn Out Scroll
IG_BlueBox,619,12	// Unripe Apple
IG_BlueBox,620,12	// Orange Juice
IG_BlueBox,621,12	// Bitter Herb
IG_BlueBox,622,12	// Rainbow Carrot
IG_BlueBox,623,12	// Earthworm the Dude
IG_BlueBox,624,12	// Rotten Fish
IG_BlueBox,625,12	// Rusty Iron
IG_BlueBox,626,12	// Monster Juice
