// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// Red Potion
IG_VioletBox,502,14	// Orange Potion
IG_VioletBox,503,14	// Yellow Potion
IG_VioletBox,504,14	// White Potion
IG_VioletBox,505,14	// Blue Potion
IG_VioletBox,506,14	// Green Potion
IG_VioletBox,507,14	// Red Herb
IG_VioletBox,508,14	// Yellow Herb
IG_VioletBox,509,14	// White Herb
IG_VioletBox,510,14	// Blue Herb
IG_VioletBox,511,14	// Green Herb
IG_VioletBox,512,14	// Apple
IG_VioletBox,513,14	// Banana
IG_VioletBox,514,14	// Grape
IG_VioletBox,515,14	// Carrot
IG_VioletBox,516,14	// Potato
IG_VioletBox,517,14	// Meat
IG_VioletBox,518,14	// Honey
IG_VioletBox,519,14	// Milk
IG_VioletBox,520,14	// Hinalle Leaflet
IG_VioletBox,521,14	// Aloe Leaflet
IG_VioletBox,522,14	// Mastela Fruit
IG_VioletBox,523,14	// Holy Water
IG_VioletBox,525,14	// Panacea
IG_VioletBox,526,14	// Royal Jelly
IG_VioletBox,528,14	// Monster Food
IG_VioletBox,529,14	// Candy
IG_VioletBox,530,14	// Candy Cane
IG_VioletBox,531,14	// Apple Juice
IG_VioletBox,532,14	// Banana Juice
IG_VioletBox,533,14	// Grape Juice
IG_VioletBox,534,14	// Carrot Juice
IG_VioletBox,535,14	// Pumpkin
IG_VioletBox,536,14	// Ice Cream
IG_VioletBox,537,14	// Pet Food
IG_VioletBox,538,14	// Well-baked Cookie
IG_VioletBox,539,14	// Piece of Cake
IG_VioletBox,544,14	// Raw Fish
IG_VioletBox,545,14	// Condensed Red Potion
IG_VioletBox,546,14	// Condensed Yellow Potion
IG_VioletBox,547,14	// Condensed White Potion
IG_VioletBox,548,14	// Cheese
IG_VioletBox,549,14	// Yam
IG_VioletBox,550,14	// Rice Cake
IG_VioletBox,551,14	// Sushi
IG_VioletBox,553,14	// Bao
IG_VioletBox,555,14	// Traditional Rice Cake
IG_VioletBox,558,14	// Chocolate
IG_VioletBox,561,14	// White Chocolate
IG_VioletBox,601,14	// Fly Wing
IG_VioletBox,602,14	// Butterfly Wing
IG_VioletBox,604,214	// Dead Branch
IG_VioletBox,605,14	// Anodyne
IG_VioletBox,606,14	// Aloevera
IG_VioletBox,607,14	// Yggdrasil Berry
IG_VioletBox,608,14	// Yggdrasil Seed
IG_VioletBox,609,14	// Amulet
IG_VioletBox,610,14	// Yggdrasil Leaf
IG_VioletBox,611,14	// Magnifier
IG_VioletBox,612,14	// Mini Furnace
IG_VioletBox,613,14	// Iron Hammer
IG_VioletBox,614,14	// Golden Hammer
IG_VioletBox,615,14	// Oridecon Hammer
IG_VioletBox,616,1		// Old Card Album
IG_VioletBox,617,103	// Old Purple Box
IG_VioletBox,618,14	// Worn Out Scroll
IG_VioletBox,619,14	// Unripe Apple
IG_VioletBox,620,14	// Orange Juice
IG_VioletBox,621,14	// Bitter Herb
IG_VioletBox,622,14	// Rainbow Carrot
IG_VioletBox,623,14	// Earthworm the Dude
IG_VioletBox,624,14	// Rotten Fish
IG_VioletBox,625,14	// Rusty Iron
IG_VioletBox,626,14	// Monster Juice
IG_VioletBox,627,14	// Sweet Milk
IG_VioletBox,628,14	// Well-Dried Bone
IG_VioletBox,629,14	// Singing Flower
IG_VioletBox,630,14	// Dew Laden Moss
IG_VioletBox,631,14	// Deadly Noxious Herb
IG_VioletBox,632,14	// Fatty Chubby Earthworm
IG_VioletBox,633,14	// Sweet Potato
IG_VioletBox,634,14	// Tropical Banana
IG_VioletBox,635,14	// Orc Trophy
IG_VioletBox,636,14	// No Recipient
IG_VioletBox,637,14	// Old Broom
IG_VioletBox,638,14	// Silver Knife of Chastity
IG_VioletBox,639,14	// Armlet of Obedience
IG_VioletBox,640,14	// Shining Stone
IG_VioletBox,641,14	// Contracts in Shadow
IG_VioletBox,642,14	// Book of the Devil
IG_VioletBox,643,14	// Pet Incubator
IG_VioletBox,644,114	// Gift Box
IG_VioletBox,645,14	// Concentration Potion
IG_VioletBox,656,14	// Awakening Potion
IG_VioletBox,657,14	// Berserk Potion
IG_VioletBox,659,14	// Her Heart
IG_VioletBox,663,14	// Songpyun
IG_VioletBox,664,14	// Gift Box
IG_VioletBox,665,14	// Gift Box
IG_VioletBox,666,14	// Gift Box
IG_VioletBox,667,14	// Gift Box
IG_VioletBox,668,14	// Red_Envelope
IG_VioletBox,678,14	// Poison Bottle
IG_VioletBox,679,14	// Pilule
IG_VioletBox,701,14	// Ora Ora
IG_VioletBox,702,14	// Animal Gore
IG_VioletBox,703,14	// Hinalle
IG_VioletBox,704,14	// Aloe
IG_VioletBox,705,14	// Clover
IG_VioletBox,706,14	// Four Leaf Clover
IG_VioletBox,707,14	// Singing Plant
IG_VioletBox,708,14	// Ment
IG_VioletBox,710,14	// Illusion Flower
IG_VioletBox,711,14	// Shoot
IG_VioletBox,712,14	// Flower
IG_VioletBox,713,14	// Empty Bottle
IG_VioletBox,715,14	// Yellow Gemstone
IG_VioletBox,716,14	// Red Gemstone
IG_VioletBox,717,14	// Blue Gemstone
IG_VioletBox,718,14	// Garnet
IG_VioletBox,719,14	// Amethyst
IG_VioletBox,720,14	// Aquamarine
IG_VioletBox,721,14	// Emerald
IG_VioletBox,722,14	// Pearl
